"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"Gratio"	"PtoT"	"AvgPtTime"	"TimePerGame"	"PtsPerGame"	"PlusMin"	"Position"
"32"	"32"	"GAUDREAU"	" JOHNNY"	"Calgary"	"F(LW)"	79	1194.88	57	52	2.862	2.611	52.29	595	565	9.5798	90.7965	100.3763	1097	1106	55.085	55.537	49.8	5.196	95.2984	100.4944	18	27	16	45	34	136	238	13.2352941176	7.56302521008	0.9039	1.3558	0.8034	2.2596	1.7073	6.8291	11.951	31.58	47.37	78.95	59.65	NA	" JOHNNY GAUDREAU"	0.132352941176471	0.0376606855918586	26.5528888888889	15.1250632911392	2.97519416175683	5	"F(LW)"
"33"	"33"	"HENRIQUE"	" ADAM"	"New Jersey"	"F(C)"	80	1060.52	47	37	2.659	2.093	55.95	423	478	11.1111	92.2594	103.3705	740	880	41.866	49.787	45.68	6.3514	95.7955	102.1469	18	11	1	29	19	102	161	17.6470588235	11.1801242236	1.0184	0.6223	0.0566	1.6407	1.0749	5.7708	9.1088	38.3	23.4	61.7	40.43	NA	" ADAM HENRIQUE"	0.176470588235294	0.0273450760004526	36.5696551724138	13.2565	2.18760608003621	10	"F(C)"
"34"	"34"	"MILLER"	" J.T."	"NY Rangers"	"F(C)"	82	1073.58	44	36	2.459	2.012	55	483	470	9.1097	92.3404	101.4501	956	975	53.429	54.49	49.51	4.6025	96.3077	100.9102	17	17	11	34	28	115	210	14.7826086957	8.09523809524	0.9501	0.9501	0.6148	1.9002	1.5649	6.4271	11.7364	38.64	38.64	77.27	63.64	NA	" J.T. MILLER"	0.147826086956522	0.0316697404944205	31.5758823529412	13.0924390243902	2.59691872054248	8	"F(C)"
"35"	"35"	"HERTL"	" TOMAS"	"San Jose"	"F(C)"	81	1115.13	56	37	3.013	1.991	60.22	611	455	9.1653	91.8681	101.0334	1169	901	62.898	48.479	56.47	4.7904	95.8934	100.6838	17	20	10	37	27	174	297	9.77011494253	5.72390572391	0.9147	1.0761	0.5381	1.9908	1.4527	9.3621	15.9802	30.36	35.71	66.07	48.21	NA	" TOMAS HERTL"	0.0977011494252874	0.0331799879834638	30.1386486486486	13.767037037037	2.68757902666057	19	"F(C)"
"36"	"36"	"HOFFMAN"	" MIKE"	"Ottawa"	"F(C)"	78	1064.28	49	42	2.762	2.368	53.85	511	573	9.589	92.6702	102.2592	979	1019	55.192	57.447	49	5.0051	95.8783	100.8834	17	23	14	40	31	160	294	10.625	5.78231292517	0.9584	1.2966	0.7893	2.255	1.7477	9.0202	16.5745	34.69	46.94	81.63	63.27	NA	" MIKE HOFFMAN"	0.10625	0.0375840944112452	26.607	13.6446153846154	2.93155936407712	7	"F(C)"
"37"	"37"	"BARKOV"	" ALEKSANDER"	"Florida"	"F(C)"	66	907.833	50	33	3.305	2.181	60.24	455	455	10.989	92.7473	103.7363	763	820	50.428	54.195	48.2	6.5531	95.9756	102.5287	17	17	11	34	28	122	183	13.9344262295	9.28961748634	1.1236	1.1236	0.727	2.2471	1.8506	8.0632	12.0947	34	34	68	56	NA	" ALEKSANDER BARKOV"	0.139344262295082	0.0374518220862207	26.7009705882353	13.7550454545455	2.47182025769057	17	"F(C)"
"38"	"38"	"SMITH"	" REILLY"	"Florida"	"F(RW)"	82	1042.5	48	27	2.763	1.554	64	526	486	9.1255	94.4444	103.5699	920	846	52.95	48.691	52.1	5.2174	96.8085	102.0259	17	16	9	33	26	125	212	13.6	8.01886792453	0.9784	0.9209	0.518	1.8993	1.4964	7.1942	12.2014	35.42	33.33	68.75	54.17	NA	" REILLY SMITH"	0.136	0.0316546762589928	31.5909090909091	12.7134146341463	2.59568345323741	21	"F(RW)"
"39"	"39"	"PACIORETTY"	" MAX"	"Montreal"	"F(LW)"	82	1088.25	49	50	2.702	2.757	49.49	651	525	7.5269	90.4762	98.0031	1198	961	66.051	52.984	55.49	4.0902	94.7971	98.8873	17	21	13	38	30	225	389	7.55555555556	4.37017994859	0.9373	1.1578	0.7167	2.0951	1.654	12.4052	21.4473	34.69	42.86	77.55	61.22	NA	" MAX PACIORETTY"	0.0755555555555556	0.0349184470480129	28.6381578947368	13.2713414634146	2.86331265793705	-1	"F(LW)"
"40"	"40"	"STAMKOS"	" STEVEN"	"Tampa Bay"	"F(C)"	77	1099.87	46	37	2.509	2.018	55.42	514	535	8.9494	93.0841	102.0335	1048	988	57.171	53.897	51.47	4.3893	96.2551	100.6444	17	14	10	31	27	120	231	14.1666666667	7.35930735931	0.9274	0.7637	0.5455	1.6911	1.4729	6.5462	12.6015	36.96	30.43	67.39	58.7	NA	" STEVEN STAMKOS"	0.141666666666667	0.0281851491539909	35.4796774193548	14.284025974026	2.1702564848573	9	"F(C)"
"41"	"41"	"ATKINSON"	" CAM"	"Columbus"	"F(RW)"	81	1025.32	44	52	2.575	3.043	45.83	554	519	7.9422	89.9807	97.9229	971	979	56.821	57.29	49.79	4.5314	94.6885	99.2199	17	16	11	33	28	164	269	10.3658536585	6.31970260223	0.9948	0.9363	0.6437	1.9311	1.6385	9.597	15.7415	38.64	36.36	75	63.64	NA	" CAM ATKINSON"	0.103658536585366	0.0321850739281395	31.070303030303	12.6582716049383	2.6069909881793	-8	"F(RW)"
